"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C24,C31,C15,C30,C32,C14,C16,C40,C23,C39,C38,C22";"CAPC1608X90N";12;"GRM188R6YA225MA12D";;;
2;"R5,R26,R19,R12";"RESC1608X55N";4;"CRCW0603200KFKEAC";;;
3;"C58,C60,C8,C44,C55,C3,C54,C57,C52";"CAPC2012X95N";9;"CL21A475KLCLQNC";;;
4;"J7,J5,J8,J6,J9";"PinSocket_1x05_P2.54mm_Vertical_SMD_Pin1Left";5;"Conn_01x05_Socket";;;
5;"C41,C42";"CAPAE660X770N";2;"865080545011";;;
6;"C28,C12,C20,C36";"CAPC2012X135N";4;"885012207100";;;
7;"C10,C34,C26,C18";"CAPC3216X180N";4;"C3216X5R1V226M160AC";;;
8;"R37";"RESC6332X70N";1;"CRCW25123R30FKEG";;;
9;"IC7";"SiC462EDT1GE3";1;"SiC462ED-T1-GE3";;;
10;"R41";"RESC1608X55N";1;"ERJ-3EKF2323V";;;
11;"C51";"CAPC1005X55N";1;"GRM155R61H105KE05D";;;
12;"R3,R4,R2,R1,R40";"RESC1608X55N";5;"CRCW06032K00FKEAC";;;
13;"IC5,IC3,IC6,IC4";"QFN50P400X400X100-25N-D";4;"STDRIVE101";;;
14;"IC11,IC9";"SOP50P490X110-11N";2;"LTC7004EMSE#PBF";;;
15;"R18,R20,R30,R27,R10,R31,R13,R25,R23,R6,R14,R21,R15,R8,R16,R11,R17,R29,R32,R7,R9,R28,R22,R24";"RESC1608X55N";24;"ESR03EZPJ220";;;
16;"R39,R46,R33,R44";"RESC1608X55N";4;"RC0603FR-1052K3L";;;
17;"J17,J27,J12,J22";"PinHeader_1x01_P2.54mm_Vertical";4;"Conn_01x01_Pin";;;
18;"Q7,Q4,Q18,Q5,Q23,Q21,Q2,Q20,Q22,Q17,Q1,Q11,Q6,Q8,Q9,Q14,Q19,Q13,Q26,Q25,Q12,Q15,Q3,Q10,Q16,Q24";"SIR500DPT1RE3";26;"SIR500DP-T1-RE3";;;
19;"IC8,IC10";"ZXTR2012Z7";2;"ZXTR2012Z-7";;;
20;"LED2,LED1,LED4,LED3";"LEDC1608X80N";4;"150060VS75000";;;
21;"C29,C37,C21,C19,C35,C13,C11,C27";"CAPAE1600X1700N";8;"865080663020";;;
22;"C53,C56,C48";"CAPAE660X550N";3;"865080543009";;;
23;"C5,C4,C7,C6,C49";"C0805";5;"C0805C333K1RECAUTO";;;
24;"J25,J10,J20,J15";"TB003500P03BE";4;"TB003-500-P03BE";;;
25;"R50,R54";"RESC3216X70N";2;"RK73B2BTTD100J";;;
26;"S1,S2";"PTS810SJG250SMTRLFS";2;"PTS810SJM250SMTRLFS";;;
27;"R35";"RESC2012X60N";1;"CR0805-FX-8661ELF";;;
28;"C45";"CAPC1608X90N";1;"06035C182KAT2A";;;
29;"L1";"INDPM172172X700N";1;"IHLP6767GZER4R7M11";;;
30;"J11,J26,J21,J16";"PinHeader_1x07_P2.54mm_Vertical_SMD_Pin1Left";4;"Conn_01x07_Pin";;;
31;"R43,R36,R45";"RESC2012X60N";3;"CR0805-FX-5603ELF";;;
32;"J1";"PinSocket_1x03_P2.54mm_Vertical_SMD_Pin1Left";1;"Conn_01x03_Socket";;;
33;"IC1";"SOT96P240X110-3N";1;"AP7375-33SA-7";;;
34;"J32,J33,J30";"1902547";3;"1902547";;;
35;"R53,R47,R51,R49";"ERJ6ENF1000V";4;"ERJ-6ENF2213V";;;
36;"R34";"RESC2012X60N";1;"CRCW080510K0FKEAC";;;
37;"R38";"RESC2012X60N";1;"CR0805-FX-1023ELF";;;
38;"C46,C1,C9,C17,C33,C25,C43,C2";"CAPC1608X90N";8;"CL10B104KB8NNNC";;;
39;"D4,D3";"FERD20H100SBTR";2;"FERD20H100SB-TR";;;
40;"Y1";"ABLS8000MHZB4T2";1;"ABLS-8.000MHZ-B4-T";;;
41;"C61,C59";"CAPC1608X80N";2;"C1608X7R1V474K080AE";;;
42;"C50";"C0603";1;"C0603C471K2RACAUTO";;;
43;"R48,R52";"RESC2012X60N";2;"CR0805-FX-1212ELF";;;
44;"J31";"PinHeader_1x05_P2.54mm_Vertical_SMD_Pin1Left";1;"Conn_01x05_Pin";;;
45;"J2";"PinHeader_1x08_P2.54mm_Vertical_SMD_Pin1Left";1;"Conn_01x08_Pin";;;
46;"IC2";"QFP50P1600X1600X160-100N";1;"STM32G0B1VET6";;;
47;"D1";"AZ1084CD33TRG1";1;"AZ1084CD-3.3TRG1";;;
48;"C47";"C0603";1;"C0603C222J5RACAUTO";;;
49;"J4";"10118192-0001LF";1;"10118192-0001LF";;;
50;"J3";"PinSocket_1x04_P1.00mm_Vertical_SMD_Pin1Left";1;"Conn_01x04_Socket";;;
51;"D5,D2";"DIOM5027X244N";2;"GS1G_R1_00001";;;
52;"R42";"RESC1608X55N";1;"RT0603CRE0760K4L";;;
